Date;Comment
29.10.22 08:20:56;@j0n4s.4k wenn man kein Geld hat kann man keines verlieren, scheinst ein witziger Mensch zu sein. Aber wie kann man ohne Geld überleben ? Willst du auf der Straße landen oder anderen es wünschen die vielleicht weniger Glück als du gehabt haben
29.10.22 08:21:45;@j0n4s.4k jeder muss konsumieren (essen, trinken etc. ) wenn das teuerer wird „verliert“ man auch mehr Geld - da Ausgaben steigen ! Nur Grüne sind eigentlich so ungebildet solche Aussagen zu treffen !
29.10.22 08:23:09;Junge erstmal war es ein joke, den du scheinbar nicht verstehst. Ich meine, dass wenn man keine großen finanziellen Besitztümer hat, man durch die Inflation keine großen Verluste erleidet. Komisch dass das scheinbar 370 Leute verstehen, du aber nicht
29.10.22 08:23:11;Der EZB das Inflationsmandat entziehen, denn das muss die Fiskalpolitik regeln ☹️
29.10.22 08:27:10;"@j0n4s.4k Wenn Antworten mit junge anfangen 😂 Ich würde jetzr meinen das meine Vorgänger deinen ""JOKE"" ebenfalls nicht verstehen konnten. Leuchte Tendenzen zum übertreiben hast du anscheinend zudem, ich sag nur 370 😂😂"
29.10.22 08:29:28;@moritz_zergiebel naja hätte die Regierung in den letzten 20 Jahren die richtigen zukunftsweisenden Entscheidungen getroffen, dann wäre es nicht ännehrend so stark ausgefallen, die Regierung hat klar mitschuld an der ganzen Situation und nicht nur die deutsche Regierung 😁
29.10.22 08:30:37;Junge 🤡 Wieso denn übertreiben?
29.10.22 08:31:14;@mmw24711 Putin und Russland.
29.10.22 08:48:38;10,4 😂😂😂😂😂 ich kann nicht mehr 😂😂😂
29.10.22 08:48:44;Ich arbeite neben dem Vollzeitmaster auch. Mein Arbeitgeber passt natürlich die Gehälter nach oben an, allerdings zwingt auch dich niemand, bei deinem aktuellen zu bleiben 😉 auf indeed oder stepstone findest du genug freie Stellen. Ich lebe auch im Drecksloch Dortmund, deswegen weiß ich das auch 😌
29.10.22 08:50:07;…Aber wenn du studierst, dann hast du dich ja sicherlich auch abgesichert, die exorbitante Geldmengenauswertung seit 2020 musste schließlich zu diesem Szenario führen. 😊 nichts überraschendes also.
29.10.22 08:55:31;Die in dem Beitrag getroffe Aussage ist falsch, man könnte auch sagen, eine Lüge. Hans Werner Sinn hat gegen diese vielfach wiederholte falsche Aussage ebenfall mehrfach Stellung bezogen.
29.10.22 08:55:39;Regulierung der Energiekosten durch die Regierung und fertig!!!!!!!......ach neeeeee.....Habe zwingt übern Preis zum Sparen, vergisst dabei aber sein Resort Wirtschaft......Lindi macht 👏 mein Schatz💰.....Energiekonzerne setzen Höchstwerte um👏......Vergissnix spricht Machtwörter.....Inflation schießt hoch.......Wendler schreit egal.....Bürger kotzt 🤮.....schönes Wochenende & danke Ampel für nix
29.10.22 08:57:32;Traurig
29.10.22 08:58:11;Die Mehrheit der Bevölkerung lehnt gendern ab. Danke @tagesschau
29.10.22 09:04:23;@hansreinerstroman siehste. Geht ned. In Deutschland sind Witze verboten und du bist Paradabeispiel
29.10.22 09:05:28;Es ist sehr schön, dass dein Arbeitgeber dein Gehalt angepasst hat, so nett ist aber nicht jeder Arbeitgeber und mal eben so den Job wechseln kann und will nicht jeder, zumindest nicht auf die Schnelle. Die Lösung des grundlegenden Problems ist das übrigens auch nicht. Das ist nett, dass du mir Ratschläge geben willst, das ändert aber nichts an deinem absolut unpassenden Ursprungskommentar, in dem du mir schnippisch unterstellt hättest, dass ich nicht arbeiten würde. Gerade jemand, der selbst studiert, sollte ja wissen, dass sich das Studium nicht von Luft und Liebe finanziert und dementsprechend nicht so einen unqualifizierten Kommentar ablassen, ohne Genaueres zu wissen.
29.10.22 09:08:14;@die_aelblerin hab ich auch eben gedacht.
29.10.22 09:09:39;@maxi_ma97 jeden monat knapp 10 % mal 10 monate sind 100% das heist im vergleich zum januar haben sich die preise mehr als verdoppelt also 200%
29.10.22 09:26:52;Gerade jemand, der selbst studiert, der weiß, dass viele Studenten entweder auf Pump oder von Papa Staat leben. Da bist du immerhin eine Ausnahme.
29.10.22 09:27:24;Bleibt weiterhin gleich. Such dir halt nen 520€ Job. Nur beschweren is nich 😉
29.10.22 09:28:04;@weningseroriginal was? Die Inflation wird im Vergleich zum Vorjahr berechnet, nicht zum Vormonat
29.10.22 09:28:32;Benchmark!😂😂😂
29.10.22 09:31:39;@mrtippitoppi 👏
29.10.22 09:36:42;In der Schweiz ist die Inflation trotzdem nicht so hoch. Also das nur Russland in die Schuhe zu schieben ist falsch. Es ist auch die Geldpolitik der EZB.
29.10.22 09:42:40;Jetzt schreibt ihr auch schon ,voraussichtlich' falsch und mit zwei r @tagesschau 😅
29.10.22 09:43:18;Offiziell*
29.10.22 10:00:49;@hansreinerstroman proving my point here Hans
29.10.22 10:04:52;@lucas_gsky Nudeln kosten jetzt auch voll viel 👀
29.10.22 10:05:19;"@floriank.pv wie schon bereits erwähnt, sucht man sich in der Regel die Ausbildung oder das Studium selber aus und macht sich vorher schlau, wie viel man bekommt, was die Ausbildung oder das Studium bringt usw. Man will ja nicht die Katze im Sack bekommen. 

900€ in der Ausbildung? Selten, ganz selten. Die meisten haben selbst im 3 Lehrjahr knapp 700€ wenn nicht sogar weniger. 

Und wie gesagt, man sucht es sich selbst aus und dann braucht man im Nachhinein nicht zu heulen. Ist ja wie wenn man Landwirt lernt und dann heult, das es Wochen gibt, die meinetwegen 70 Stunden haben. Man weiß es vorher und dann brauch man danach auch nicht meckern."
29.10.22 10:09:44;@hansreinerstroman proving my point here Hans
29.10.22 10:12:40;@dmxuni5281 HÄ? 1. Hätten wir die Energiewende wirklich vollzogen, hätten wir jetzt keine Inflation denn dann wäre unser Strom der billigste den es gäbe. 2. Die Grünen waren IMMER gegen russisches Gas, wenn also einer Recht hatte in der Energiepolitik dann waren es die Grünen. 3. Die CDU ist Links?? Warum ist sie dann neutral bzgl Mindestlohn, will keine Legalisierung von Cannabis, ist gegen Abtreibung, macht neoliberale Wirtschaftspolitik und hat ein Frauenbilf aus dem 18 Jahrhundert? Dass die CDU Links ist ist ja mal wirklich lächerlich.
