 Klimaschutz muss deshalb noch viel radikaler werden.
 Wer hätte es gedacht *surprised pikachu face*
 Kluge Menschen setzen sich Ziele die sie erreichen können während Politiker sich ideologische Ziele setzen von deren erreichen geträumt werden kann.
 Es eilt ja auch nicht...
 Wundere mich wirklich wie die politische Welt das alles unter den Teppich kehren und aussehen will wenn es extrem schlimm wird.Warum soll ich in irgendeiner Form optimistisch sein oder was für die Zukunft tun bei solchen Aussichten?
 Wir werden alle sterben.
 ich lese den artikel mal nicht... steht warscheinlich die bürokratie im weg... zumindest wenn man sie versuchen würde zu erreichen.
 Ich hab andere Sorgen...
 Juckt nicht.
 in 9 Monden kommen die Ausseridischen dann werden sie die Erde übernehmen, die haben mir gesagt das die Menschen keine rücksicht auf die Erde und die Tierwelt genommen haben daher haben wir die Erde nicht verdient.
 Ich will Russengas und Russenöl und nicht diese unbezahlbaren, strahlenden und stinkenden Alternativen.
 Und wir heul'n rum, weil ne Radfahrerin Mal wieder gestorben ist
 @polizeiberlin @BMI_Bund @Bundeskanzler Stoppt die illegalen und tödlichen Aktionen der @AufstandLastGen! Das Vertrauen in den Staat schwindet!
 Wer hätte damit gerechnet? 😳Hoch gesteckte Ziele nur halbherzig angehen funktioniert selten? Das hätte man unser Regierungsriege aber auch echt mal vorher sagen können......Ach das hat man?.. Oh...
 Die dümmste Energiepolitik der Welt.
 experten.das wird nicht nur in deutschland ausgestossen das kann von weit her kommen
" Und die letzte Generation so:""wir brauchen mehr Kleber""."
 1,8% des Emissionen werden durch DE verursacht. Kindergartendiskussion, während Teile der Bevölkerung Gefahr laufen ihrer Wärme- und Energieversorgung verlustig zu gehen.
 Die Jahrzehnte davor besagen auch, das war nie vorgesehen.
 Ich habe keine Klimaziele und niemand beauftragt sie für mich festzulegen.
 Einige EU-Länder bauen neue Atomkraftwerke. Deutschland sollte das auch tun.
 oh wow damit hätte ich jetzt nicht gerechnet...
 Gar nicht*
 Was wir brauchen ist ein vernünftiger und ideologiefreier Diskurs wie Energieziele erreicht werden können.Die größten Gegner diesen Diskurs in Deutschland zu führen, sind die Grünen.Kriege für die Energiewende zu führen ist nicht das Mittel der Wahl. https://t.co/Wj7KhExwkR
 Das hätte man schon bei der Festsetzung der Ziele wissen können.
 Wenn die Regierung so weiter macht ist Deutschland in zwei Jahren komplett Industriefrei. Dann gibt es auch weniger Emissionen.
" Tja, ohne Atomenergie wird es halt schwer. Beim Ausbau kommt die Ampel ja auch nicht weiter. Trotz vollmundiger Ankündigungen von Habeck &amp; Co."
 Und wieso bezieht der Expertenrat die aktuelle Entwicklung nicht ein? Energieabhängige Industrien werden das Land in den nächsten Jahren wegen der hohen Energiepreise verlasen, zudem hat die Regierung einen offensiven Ausbau erneuerbarer Energien angekündigt.
 Man sollte diese völlig unsinnigen Ziele in die Tonne treten.
 Mit Kohle statt AKW geht das natürlich auch nicht. #DankeHabeck
 https://t.co/Qjiufbc4iA
 Warum arbeitet der ÖRR immer wieder mit solch dramatisch inszenierten Bildern?
 Dann ersetzt doch mal die Sportnachrichten in der Tagesschau endlich mit Klimaberichterstattung!
" Aus dem Artikel geht nicht hervor, ob sich der Rat zu Art, Umfang und finanziellen Volumen von notwendigen Umbaumaßnahmen in den Wirtschaftssektoren äußert.Bisher ist das mE zu wenig, was an F&amp;E getan/finanziert wird und überhaupt so eine gewaltigen Umbau zu realisieren."
 Diese Klimaziele sind totaler Quark.
 Die Klimaziele sind deswegen nicht erreichbar, weil das Klima ein unerhört komplexer Prozess ist und sich nicht an sozialistische Fünfjahrespläne hält.
" Nachdem die Unterstützung der Klima-Extremisten nach dem Tod der Frau massiv zu schwinden droht, hat sich der linksgrüne NDR nun schnell das Thema ""Klima &amp;  Klimakatastrophe"" zum wichtigsten Tagesthema gemacht, um der Aktivisten-Anti-Stimmung schnell etwas entgegen zu setzen. https://t.co/XvtHprLFoT"
 Bemüht euch wenigstens um guten Journalismus, daß ihr nicht wollt ist eine andere Sache https://t.co/86uFk06fr8
 Vergebliche Worte, die verhallen werden, derweil wir weiter shoppen, konsumieren + ignorieren — dressiert von der Wirtschaft kaufen wir brav das nächste Non-Plus-Smarphone, Riesenauto, Paar Sneakers …
 Danke @fdp @c_lindner @Wissing für eure nicht vorhandene Kompetenz aber wer schulden als geld aus der Zukunft bezeichnet ist sowieso verloren nicht wahr @c_lindner 😉
 Klar, wenn Du Kohle und Öl verbrennst, bis der Arzt kommt, um das Land mit Strom zu versorgen, weil Du Deinen grünen Wählern das Wiederanlaufen der 3 vorletzten AKWs nicht zumuten kannst.
 Ok, dann können wir jetzt damit aufhören die Welt zu retten. It’s over. ES IST ZU SPÄT 🕊🤡🤝
" Dann sollten wir das auch sein lassen. Das Panik Narrativ ist wie bei #SARSCoV2 auch hier gescheitert. Der Versuch den Klimawandel ""auszurotten"" verursacht mehr Schaden als Nutzen. Das hat auch die @nytimesunlängst eingestanden.https://t.co/hZZC7EacQ6"
 Experte...........
 Allmählich sollten sich Juristen Gedanken darüber machen, ob die letzte und die jetzige BR sich wegen Verbrechens gegen die Menschheit verantworten sollten. Das gilt natürlich auch für die meisten anderen Staaten ebenfalls.
